Rank,Name,Games,Plays,Yds,Avg,TDs,Ydspgm,Wins,Losses,Ties,Year,Team Code
12,Houston,13,1018,5958,5.85,58,458.31,7,6,0,2003,288
44,Houston,11,820,4287,5.23,28,389.73,3,8,0,2004,288
19,Houston,12,899,5265,5.86,43,438.75,6,6,0,2005,288
7,Houston,14,935,6245,6.68,60,446.07,10,4,0,2006,288
4,Houston,13,1036,6525,6.3,59,501.92,8,5,0,2007,288
2,Houston,13,1016,7316,7.2,71,562.77,8,5,0,2008,288
1,Houston,14,1150,7887,6.86,77,563.36,10,4,0,2009,288
11,Houston,12,894,5766,6.45,59,480.5,5,7,0,2010,288
1,Houston,14,1102,8387,7.61,93,599.07,13,1,0,2011,288
15,Houston,12,984,5755,5.85,47,479.58,5,7,0,2012,288
59,Idaho,12,848,4557,5.37,33,379.75,3,9,0,2003,295
84,Idaho,12,852,4080,4.79,33,340,3,9,0,2004,295
86,Idaho,11,773,3692,4.78,27,335.64,2,9,0,2005,295
94,Idaho,12,745,3723,5,24,310.25,4,8,0,2006,295
87,Idaho,12,866,4196,4.85,31,349.67,1,11,0,2007,295
93,Idaho,12,804,3851,4.79,30,320.92,2,10,0,2008,295
9,Idaho,13,849,5868,6.91,55,451.38,8,5,0,2009,295
55,Idaho,13,922,5028,5.45,42,386.77,6,7,0,2010,295
111,Idaho,12,810,3618,4.47,30,301.5,2,10,0,2011,295
112,Idaho,12,798,3781,4.74,19,315.08,1,11,0,2012,295
87,Illinois,12,826,4084,4.94,23,340.33,1,11,0,2003,301
86,Illinois,11,759,3719,4.9,31,338.09,3,8,0,2004,301
72,Illinois,11,809,3901,4.82,21,354.64,2,9,0,2005,301
57,Illinois,12,766,4144,5.41,27,345.33,2,10,0,2006,301
34,Illinois,13,918,5525,6.02,45,425,9,4,0,2007,301
19,Illinois,12,853,5266,6.17,43,438.83,5,7,0,2008,301
47,Illinois,12,828,4722,5.7,38,393.5,3,9,0,2009,301
45,Illinois,13,903,5162,5.72,50,397.08,7,6,0,2010,301
85,Illinois,13,912,4624,5.07,38,355.69,7,6,0,2011,301
119,Illinois,12,797,3560,4.47,25,296.67,2,10,0,2012,301
98,Indiana,12,885,3861,4.36,20,321.75,2,10,0,2003,306
99,Indiana,11,764,3525,4.61,33,320.45,3,8,0,2004,306
75,Indiana,11,828,3859,4.66,34,350.82,4,7,0,2005,306
66,Indiana,12,822,4031,4.9,35,335.92,5,7,0,2006,306
61,Indiana,13,921,5119,5.56,50,393.77,7,6,0,2007,306
71,Indiana,12,803,4178,5.2,31,348.17,3,9,0,2008,306
72,Indiana,12,809,4380,5.41,34,365,4,8,0,2009,306
54,Indiana,12,861,4650,5.4,39,387.5,5,7,0,2010,306
83,Indiana,12,870,4325,4.97,31,360.42,1,11,0,2011,306
34,Indiana,12,939,5304,5.65,46,442,4,8,0,2012,306
109,Iowa St.,12,824,3570,4.33,21,297.5,2,10,0,2003,311
91,Iowa St.,12,887,3949,4.45,31,329.08,7,5,0,2004,311
76,Iowa St.,12,859,4204,4.89,42,350.33,7,5,0,2005,311
81,Iowa St.,12,779,3814,4.9,29,317.83,4,8,0,2006,311
102,Iowa St.,12,896,3923,4.38,27,326.92,3,9,0,2007,311
44,Iowa St.,12,841,4642,5.52,36,386.83,2,10,0,2008,311
73,Iowa St.,13,896,4741,5.29,33,364.69,7,6,0,2009,311
99,Iowa St.,12,828,3809,4.6,34,317.42,5,7,0,2010,311
60,Iowa St.,13,1022,5025,4.92,38,386.54,6,7,0,2011,311
