Code,Name,Percentage,Year
204,Eastern Mich.,0.49180328,2008
229,Fla. Atlantic,0.45323741,2008
231,Florida Int'l,0.40625,2008
234,Florida St.,0.59836066,2008
235,Florida,0.6369863,2008
255,Georgia Tech,0.54237288,2008
257,Georgia,0.61940299,2008
277,Hawaii,0.51034483,2008
288,Houston,0.48854962,2008
295,Idaho,0.45454545,2008
301,Illinois,0.56198347,2008
306,Indiana,0.53389831,2008
311,Iowa St.,0.45378151,2008
312,Iowa,0.5,2008
327,Kansas St.,0.48333333,2008
328,Kansas,0.59848485,2008
331,Kent St.,0.41803279,2008
334,Kentucky,0.53030303,2008
365,LSU,0.53435115,2008
366,Louisiana Tech,0.41860465,2008
367,Louisville,0.52066116,2008
388,Marshall,0.56,2008
392,Maryland,0.53030303,2008
404,Memphis,0.41538462,2008
414,Miami (Ohio),0.43548387,2008
415,Miami (Fla.),0.54961832,2008
416,Michigan St.,0.55244755,2008
418,Michigan,0.52671756,2008
419,Middle Tenn. St.,0.37301587,2008
428,Minnesota,0.47692308,2008
430,Mississippi St.,0.52892562,2008
433,Mississippi,0.57575758,2008
434,Missouri,0.56643357,2008
457,North Carolina,0.5530303,2008
463,Nebraska,0.52898551,2008
465,UNLV,0.46875,2008
466,Nevada,0.50381679,2008
472,New Mexico St.,0.45081967,2008
473,New Mexico,0.53435115,2008
490,North Carolina St.,0.54887218,2008
497,North Texas,0.4496124,2008
498,La.-Monroe,0.38655462,2008
503,Northern Ill.,0.45384615,2008
509,Northwestern,0.4453125,2008
513,Notre Dame,0.46206897,2008
518,Ohio St.,0.60606061,2008
519,Ohio,0.45833333,2008
521,Oklahoma St.,0.56060606,2008
522,Oklahoma,0.65517241,2008
528,Oregon St.,0.58108108,2008
529,Oregon,0.51034483,2008
539,Penn St.,0.53435115,2008
545,Pittsburgh,0.5890411,2008
559,Purdue,0.57723577,2008
574,Rice,0.46527778,2008
587,Rutgers,0.53787879,2008
626,San Diego St.,0.50420168,2008
630,San Jose St.,0.43801653,2008
648,South Carolina,0.55725191,2008
651,South Fla.,0.51145038,2008
657,Southern California,0.54109589,2008
663,SMU,0.52459016,2008
664,Southern Miss.,0.46428571,2008
671,La.-Lafayette,0.3875969,2008
674,Stanford,0.52941176,2008
688,Syracuse,0.59349593,2008
690,Temple,0.44186047,2008
694,Tennessee,0.50757576,2008
