Name,Team,G,Receiving,Rec,Yds,Y/G,Avg,Lng,TD,RUSHING,Rush,Yds,Y/G,Avg,TD,Year,Position
Trumaine Riley,EMU,11,,9,86,10.8,9.6,30,0,,1,-5,-0.6,-5,0,2003,WR
James Dunn,Tula,7,,10,85,17,8.5,39,0,,0,0,0,N/A,0,2003,WR
Tiger Jones,Lou,5,,7,85,17,12.1,24,0,,0,0,0,N/A,0,2003,WR
Tee Milons,MS St,4,,9,83,20.8,9.2,15,1,,1,23,5.8,23,0,2003,WR
Dominique Zeigler,Bayl,5,,9,83,16.6,9.2,16,0,,0,0,0,N/A,0,2003,WR
Justin Robbins,Wash,4,,7,83,20.8,11.9,24,0,,0,0,0,N/A,0,2003,WR
Richard McQuillar,Tuls,5,,7,83,16.6,11.9,22,1,,0,0,0,N/A,0,2003,WR
Alonzo Harris,EMU,3,,6,82,27.3,13.7,32,1,,0,0,0,N/A,0,2003,WR
Michael Miyashiro,Haw,6,,11,82,13.7,7.5,14,1,,0,0,0,N/A,0,2003,WR
Chris Hawkins,NC St,5,,6,81,16.2,13.5,34,1,,1,10,2,10,0,2003,WR
Tyke Spencer,Ind,6,,7,81,13.5,11.6,20,0,,0,0,0,N/A,0,2003,WR
Johnathan Holland,LT,5,,4,80,16,20,45,0,,3,23,4.6,7.7,1,2003,WR
Matt Shelton,ND,6,,3,80,26.7,26.7,65,1,,0,0,0,N/A,0,2003,WR
Kelvin Grant,Clem,5,,12,79,15.8,6.6,15,1,,0,0,0,N/A,0,2003,WR
Brad Bates,Mrsh,5,,12,77,15.4,6.4,16,0,,0,0,0,N/A,0,2003,WR
Syndric Steptoe,Ariz,12,,9,77,12.8,8.6,15,0,,1,3,0.5,3,0,2003,WR
Anthony Park,AFA,7,,8,76,10.9,9.5,22,0,,1,-2,-0.3,-2,0,2003,WR
Aaron Neal,W Va,3,,7,76,25.3,10.9,19,1,,0,0,0,N/A,0,2003,WR
Michael Thrash,N TX,5,,6,75,15,12.5,25,0,,0,0,0,N/A,0,2003,WR
Iverick Harris,ECU,2,,3,75,37.5,25,39,0,,0,0,0,N/A,0,2003,WR
Tim Tolbert,NM St,4,,5,75,18.8,15,18,0,,0,0,0,N/A,0,2003,WR
Moey Mutz,AZ St,1,,3,75,75,25,38,2,,0,0,0,N/A,0,2003,WR
Carl Duncan,UAB,4,,8,75,18.8,9.4,21,0,,0,0,0,N/A,0,2003,WR
Julius Eppinger,FIU,1,,7,74,74,10.6,34,0,,0,0,0,N/A,0,2003,WR
Drisan James,Bois,3,,5,74,24.7,14.8,27,0,,0,0,0,N/A,0,2003,WR
Buchie Ibeh,Temp,4,,5,73,18.3,14.6,23,0,,0,0,0,N/A,0,2003,WR
Chris Iskra,S Fla,2,,2,72,36,36,58,0,,0,0,0,N/A,0,2003,WR
John Pennington,W Va,5,,7,71,14.2,10.1,28,1,,0,0,0,N/A,0,2003,WR
Ike Chekwa,TX St,4,,8,70,17.5,8.8,36,1,,0,0,0,N/A,0,2003,WR
Zach Muzzy,N TX,2,,3,69,34.5,23,39,0,,0,0,0,N/A,0,2003,WR
Derrick Lett,BGSU,2,,2,69,34.5,34.5,66,1,,0,0,0,N/A,0,2003,WR
Roy Hall,OH St,7,,6,69,9.9,11.5,18,0,,0,0,0,N/A,0,2003,WR
Derrick Tinsley,Tenn,6,,7,68,11.3,9.7,18,3,,6,67,11.2,11.2,1,2003,WR
Preston Williams,NM St,3,,4,68,22.7,17,39,0,,1,1,0.3,1,0,2003,WR
Jason Boyd,AR St,7,,8,68,9.7,8.5,14,0,,1,2,0.3,2,0,2003,WR
Andre Fontenette,Syra,8,,11,68,8.5,6.2,10,0,,0,0,0,N/A,0,2003,WR
Iris Williams,Bayl,4,,6,67,16.8,11.2,36,1,,0,0,0,N/A,0,2003,WR
Garret Bushong,Purd,4,,6,67,16.8,11.2,25,0,,0,0,0,N/A,0,2003,WR
Brian Howard,ECU,4,,9,67,16.8,7.4,12,0,,0,0,0,N/A,0,2003,WR
David Clowney,VT,4,,5,67,16.8,13.4,27,1,,0,0,0,N/A,0,2003,WR
Ryan Slater,BYU,2,,5,67,33.5,13.4,22,0,,0,0,0,N/A,0,2003,WR
Reynaldo Pellerin,SMU,4,,4,66,16.5,16.5,31,1,,0,0,0,N/A,0,2003,WR
Fontel Mines,UVa,4,,6,66,16.5,11,21,1,,0,0,0,N/A,0,2003,WR
Sean Bailey,Ga,4,,6,66,16.5,11,15,0,,0,0,0,N/A,0,2003,WR
Justin McCullum,Stan,5,,7,64,12.8,9.1,19,0,,0,0,0,N/A,0,2003,WR
Joe West,UTEP,4,,6,64,16,10.7,20,2,,0,0,0,N/A,0,2003,WR
Jason Southall,UAB,10,,8,64,7.1,8,15,0,,1,2,0.2,2,0,2003,WR
David McDermott,N Ill,3,,10,64,21.3,6.4,10,0,,0,0,0,N/A,0,2003,WR
Garrett Johnson,NM St,2,,6,64,32,10.7,16,0,,0,0,0,N/A,0,2003,WR
Korey Kirkpatrick,Mia O,1,,5,64,64,12.8,16,0,,0,0,0,N/A,0,2003,WR
Casey Miranda,SJSU,5,,5,64,12.8,12.8,25,0,,1,13,2.6,13,0,2003,WR
Bill Monan,Temp,4,,4,63,15.8,15.8,30,0,,0,0,0,N/A,0,2003,WR
Craig Davis,LSU,3,,7,63,21,9,17,0,,0,0,0,N/A,0,2003,WR
Dee Alston,W Va,6,,8,63,10.5,7.9,16,0,,0,0,0,N/A,0,2003,WR
Andy Bertrand,NC St,4,,6,63,15.8,10.5,20,0,,0,0,0,N/A,0,2003,WR
Josh Hawkins,OR St,4,,4,62,15.5,15.5,20,1,,0,0,0,N/A,0,2003,WR
Damien Linson,CMU,5,,7,61,12.2,8.7,16,1,,1,0,0,0,0,2003,WR
Matt Grimmett,TCU,2,,5,60,30,12,21,0,,0,0,0,N/A,0,2003,WR
Trey Haverty,TX Tch,6,,9,60,10,6.7,13,0,,0,0,0,N/A,0,2003,WR
Tim Dance,Buff,4,,7,58,14.5,8.3,12,0,,1,0,0,0,0,2003,WR
Chris Baker,Ark,4,,4,57,14.3,14.3,33,0,,0,0,0,N/A,0,2003,WR
Corey Williams,Wash,4,,5,57,14.3,11.4,21,2,,0,0,0,N/A,0,2003,WR
Kinta Palmer,PSU,4,,7,57,14.3,8.1,14,0,,0,0,0,N/A,0,2003,WR
Ross Dickerson,Haw,5,,8,57,11.4,7.1,19,0,,3,25,5,8.3,0,2003,WR
Ernie Terrell,PSU,2,,5,56,28,11.2,20,0,,0,0,0,N/A,0,2003,WR
Justin Fetsko,Aub,5,,6,55,11,9.2,16,0,,0,0,0,N/A,0,2003,WR
Mark Onibokun,Bois,7,,6,55,7.9,9.2,12,0,,3,11,1.6,3.7,0,2003,WR
Bobby Good,ECU,2,,8,55,27.5,6.9,14,0,,0,0,0,N/A,0,2003,WR
Damarius Bilbo,GT,2,,2,55,27.5,27.5,49,0,,0,0,0,N/A,0,2003,WR
Daniel Rumley,NC,2,,3,55,27.5,18.3,43,0,,0,0,0,N/A,0,2003,WR
Ramal Porter,SDg St,5,,6,55,11,9.2,18,0,,1,33,6.6,33,0,2003,WR
Mark Logan,GT,4,,4,55,13.8,13.8,26,1,,0,0,0,N/A,0,2003,WR
Keyon (Brian) Ingram,Ohio,4,,5,54,13.5,10.8,27,0,,0,0,0,N/A,0,2003,WR
Andre Rollins,FIU,3,,5,54,18,10.8,17,0,,0,0,0,N/A,0,2003,WR
Daniel Inferrera,Haw,4,,7,54,13.5,7.7,15,0,,0,0,0,N/A,0,2003,WR
Jeff Samardzija,ND,4,,7,53,13.3,7.6,19,0,,0,0,0,N/A,0,2003,WR
Ty Brown,ULL,3,,8,53,17.7,6.6,13,0,,0,0,0,N/A,0,2003,WR
Glenn Opie,Mass,5,,5,52,10.4,10.4,18,0,,0,0,0,N/A,0,2003,WR
Sakeen Wright,ECU,3,,5,52,17.3,10.4,15,0,,0,0,0,N/A,0,2003,WR
Chris Jackson,Ohio,10,,2,52,5.2,26,32,0,,42,133,13.3,3.2,2,2003,WR
Nate Ilaoa,Haw,1,,2,51,51,25.5,41,0,,0,0,0,N/A,0,2003,WR
