","Name","Team","Yds","Y.G","TD","RUSHING","Rush","Yds.1","Y.G.1","Avg","TD.1","Year","Position","Rec","Avg.1","Lng","PASSING","QBRAT","Att","Comp","Pct","Y.A","Int","SACKED","Sack","YdsL","RECEIVING","Receiving"
154","Andy Schmitt","EMU",428,142.7,2,NA,13,-33,-11,"-2.5",1,2009,"QB",NA,NA,NA,NA,103.2,81,51,"63","5.3",5,NA,8,-63,NA,NA
155","Andy Schmitt","EMU",1182,131.3,2,NA,107,461,51.2,"4.3",4,2006,"QB",NA,NA,NA,NA,105.6,213,131,"61.5","5.5",6,NA,9,-57,NA,NA
156","Andy Schmitt","EMU",1613,146.6,14,NA,67,279,25.4,"4.2",6,2007,"QB",NA,NA,NA,NA,130.9,255,164,"64.3","6.3",6,NA,11,-54,NA,NA
157","Andy Schmitt","EMU",2644,240.4,15,NA,57,171,15.5,"3",5,2008,"QB",NA,NA,NA,NA,123.9,417,261,"62.6","6.3",8,NA,14,-71,NA,NA
158","Andy Summerlin","Memp",469,93.8,0,NA,10,-23,-4.6,"-2.3",0,2011,"QB",NA,NA,NA,NA,85.5,94,45,"47.9","5",2,NA,5,-29,NA,NA
159","Angel Santiago","Army",0,0,0,NA,8,12,6,"1.5",0,2012,"QB",NA,NA,NA,NA,0,3,0,"0","0",0,NA,2,-5,NA,NA
160","Angel Santiago","Army",84,21,0,NA,45,162,40.5,"3.6",1,2011,"QB",NA,NA,NA,NA,66.9,21,7,"33.3","4",0,NA,2,-11,NA,NA
161","Anthony Boone","Duke",298,29.8,1,NA,44,129,12.9,"2.9",4,2011,"QB",NA,NA,NA,NA,106.3,53,30,"56.6","5.6",1,NA,0,0,NA,NA
162","Anthony Boone","Duke",531,53.1,5,NA,26,82,8.2,"3.2",2,2012,"QB",NA,NA,NA,NA,111.7,95,49,"51.6","5.6",2,NA,1,-6,NA,NA
163","Anthony Glaud","BGSU",266,66.5,2,NA,15,20,5,"1.3",0,2007,"QB",NA,NA,NA,NA,133.2,36,23,"63.9","7.4",2,NA,4,-40,NA,NA
164","Anthony Magazu","Kent",190,63.3,2,NA,14,38,12.7,"2.7",0,2007,"QB",NA,NA,NA,NA,124.3,27,13,"48.1","7",1,NA,4,-27,NA,NA
165","Anthony Magazu","Kent",65,13,0,NA,12,-18,-3.6,"-1.5",0,2009,"QB",NA,NA,NA,NA,65.8,25,11,"44","2.6",0,NA,6,-61,NA,NA
166","Anthony Magazu","Kent",205,41,1,NA,4,10,2,"2.5",1,2008,"QB",NA,NA,NA,NA,137,23,11,"47.8","8.9",0,NA,1,-6,NA,NA
167","Anthony Martinez","Temp",0,0,0,NA,0,8,8,"N/A",0,2005,"RB",1,"8","8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
168","Anthony Martinez","UVa",136,45.3,1,NA,6,-26,-8.7,"-4.3",0,2003,"QB",NA,NA,NA,NA,77,36,17,"47.2","3.8",2,NA,2,-13,NA,NA
169","Anthony Morelli","PSU",155,51.7,1,NA,4,-8,-2.7,"-2",1,2005,"QB",NA,NA,NA,NA,146.6,20,13,"65","7.8",0,NA,2,-11,NA,NA
170","Anthony Morelli","PSU",45,11.3,0,NA,1,-12,-3,"-12",0,2004,"QB",NA,NA,NA,NA,52.2,13,5,"38.5","3.5",1,NA,1,-12,NA,NA
171","Anthony Morelli","PSU",2424,186.5,11,NA,39,-88,-6.8,"-2.3",0,2006,"QB",NA,NA,NA,NA,111.9,386,208,"53.9","6.3",8,NA,19,-165,NA,NA
172","Anthony Morelli","PSU",2651,203.9,19,NA,48,-13,-1,"-0.3",0,2007,"QB",NA,NA,NA,NA,124.2,402,234,"58.2","6.6",10,NA,20,-131,NA,NA
173","Anthony Scelfo","Tula",31,7.8,0,NA,11,43,10.8,"3.9",1,2006,"QB",NA,NA,NA,NA,60.1,6,3,"50","5.2",1,NA,0,0,NA,NA
174","Anthony Scelfo","Tula",1396,116.3,6,NA,57,171,14.3,"3",1,2007,"QB",NA,NA,NA,NA,114.2,205,111,"54.1","6.8",7,NA,12,-68,NA,NA
175","Anthony Severino","S Fla",0,0,0,NA,1,-2,-2,"-2",0,2005,"QB",NA,NA,NA,NA,0,0,0,"N/A","N/A",0,NA,0,0,NA,NA
176","Anthony Severino","S Fla",28,14,1,NA,1,5,2.5,"5",0,2007,"QB",NA,NA,NA,NA,221.7,3,1,"33.3","9.3",0,NA,0,0,NA,NA
177","Anthony Sheppard","WKU",11,1.8,0,NA,2,26,4.3,"13",0,2009,"QB",NA,NA,NA,NA,192.4,1,1,"100","11",0,NA,0,0,NA,NA
178","Anthony Speight","UAB",0,0,0,NA,3,-3,-1.5,"-1",0,2007,"QB",NA,NA,NA,NA,0,0,0,"N/A","N/A",0,NA,1,-9,NA,NA
179","Antonio Heffner","S Car",236,33.7,2,NA,28,67,9.6,"2.4",1,2005,"QB",NA,NA,NA,NA,146.7,33,22,"66.7","7.2",0,NA,5,-30,NA,NA
180","Antonio Henton","OH St",57,19,1,NA,9,41,13.7,"4.6",0,2007,"QB",NA,NA,NA,NA,184.8,6,3,"50","9.5",0,NA,0,0,NA,NA
181","Antwan Smith","Kent",180,25.7,1,NA,10,23,3.3,"2.3",0,2004,"QB",NA,NA,NA,NA,89.6,44,23,"52.3","4.1",1,NA,2,-16,NA,NA
182","Antwan Smith","Kent",148,12.3,2,NA,20,92,7.7,"4.6",0,2003,"QB",NA,NA,NA,NA,144.6,18,7,"38.9","8.2",0,NA,3,-20,NA,NA
183","Aries Nelson","MS St",0,0,0,NA,1,-1,-1,"-1",0,2003,"QB",NA,NA,NA,NA,100,1,1,"100","0",0,NA,0,0,NA,NA
184","Arkelon Hall","Memp",332,66.4,0,NA,18,3,0.6,"0.2",0,2009,"QB",NA,NA,NA,NA,75.5,82,44,"53.7","4",5,NA,4,-32,NA,NA
185","Arkelon Hall","Memp",2275,206.8,12,NA,76,200,18.2,"2.6",3,2008,"QB",NA,NA,NA,NA,121.7,335,191,"57","6.8",7,NA,9,-60,NA,NA
186","Arsenio Favor","USM",8,1.6,0,NA,12,41,8.2,"3.4",0,2011,"QB",NA,NA,NA,NA,55.7,3,1,"33.3","2.7",0,NA,0,0,NA,NA
187","Arsenio Favor","USM",650,130,3,NA,42,133,26.6,"3.2",3,2012,"QB",NA,NA,NA,NA,142.5,67,37,"55.2","9.7",3,NA,6,-50,NA,NA
188","Arvell Nelson","Iowa",12,12,0,NA,0,0,0,"N/A",0,2007,"QB",NA,NA,NA,NA,200.8,1,1,"100","12",0,NA,0,0,NA,NA
189","Asad Abdul-Khaliq","Minn",2401,184.7,17,NA,88,370,28.5,"4.2",4,2003,"QB",NA,NA,NA,NA,162.3,250,158,"63.2","9.6",5,NA,13,-70,NA,NA
190","Ashton Glaser","Mizz",0,0,0,NA,2,3,3,"1.5",0,2011,"QB",NA,NA,NA,NA,0,0,0,"N/A","N/A",0,NA,0,0,NA,NA
191","Ashton Nixon","SMU",0,0,0,NA,5,22,11,"4.4",0,2004,"QB",NA,NA,NA,NA,0,0,0,"N/A","N/A",0,NA,0,0,NA,NA
192","Austen Arnaud","IA St",267,44.5,0,NA,17,18,3,"1.1",0,2007,"QB",NA,NA,NA,NA,109.3,37,20,"54.1","7.2",1,NA,2,-15,NA,NA
193","Austen Arnaud","IA St",1703,154.8,13,NA,103,173,15.7,"1.7",2,2010,"QB",NA,NA,NA,NA,116.2,290,171,"59","5.9",10,NA,19,-102,NA,NA
194","Austen Arnaud","IA St",2015,183.2,14,NA,147,561,51,"3.8",8,2009,"QB",NA,NA,NA,NA,121.3,303,178,"58.7","6.7",13,NA,13,-81,NA,NA
195","Austen Arnaud","IA St",2792,232.7,15,NA,109,401,33.4,"3.7",5,2008,"QB",NA,NA,NA,NA,127.4,401,247,"61.6","7",10,NA,16,-94,NA,NA
196","Austen Everson","Ohio",491,98.2,3,NA,64,178,35.6,"2.8",3,2003,"QB",NA,NA,NA,NA,144.5,52,26,"50","9.4",1,NA,7,-62,NA,NA
197","Austen Everson","Ohio",588,65.3,4,NA,35,3,0.3,"0.1",1,2004,"QB",NA,NA,NA,NA,107.9,83,37,"44.6","7.1",5,NA,16,-88,NA,NA
198","Austen Everson","Ohio",1151,104.6,4,NA,105,244,22.2,"2.3",6,2005,"QB",NA,NA,NA,NA,87.7,220,105,"47.7","5.2",11,NA,15,-80,NA,NA
199","Austen Everson","Ohio",1356,104.3,7,NA,104,357,27.5,"3.4",2,2006,"QB",NA,NA,NA,NA,102,253,137,"54.2","5.4",8,NA,13,-88,NA,NA
200","Austin Boucher","Mia O",76,19,1,NA,4,8,2,"2",0,2011,"QB",NA,NA,NA,NA,156.8,10,6,"60","7.6",0,NA,1,-12,NA,NA
201","Austin Boucher","Mia O",82,20.5,0,NA,8,-16,-4,"-2",0,2012,"QB",NA,NA,NA,NA,106.8,13,7,"53.8","6.3",0,NA,4,-20,NA,NA
202","Austin Boucher","Mia O",1120,160,6,NA,35,-61,-8.7,"-1.7",0,2010,"QB",NA,NA,NA,NA,133.5,155,99,"63.9","7.2",3,NA,9,-64,NA,NA
203","Austin Brown","UAB",2673,222.8,15,NA,62,-237,-19.8,"-3.8",0,2012,"QB",NA,NA,NA,NA,128.2,355,205,"57.7","7.5",12,NA,36,-274,NA,NA
204","Austin Dantin","Tole",539,107.8,5,NA,27,55,11,"2",0,2012,"QB",NA,NA,NA,NA,124.7,88,54,"61.4","6.1",3,NA,8,-38,NA,NA
205","Austin Dantin","Tole",962,160.3,4,NA,44,51,8.5,"1.2",0,2009,"QB",NA,NA,NA,NA,138.7,119,79,"66.4","8.1",4,NA,10,-69,NA,NA
206","Austin Dantin","Tole",1256,139.6,7,NA,103,142,15.8,"1.4",8,2010,"QB",NA,NA,NA,NA,124.8,192,127,"66.1","6.5",8,NA,14,-104,NA,NA
207","Austin Dantin","Tole",1404,127.6,15,NA,59,183,16.6,"3.1",2,2011,"QB",NA,NA,NA,NA,149.7,188,122,"64.9","7.5",4,NA,8,-58,NA,NA
208","Austin Davis","USM",1165,233,10,NA,50,63,12.6,"1.3",2,2009,"QB",NA,NA,NA,NA,150.6,156,108,"69.2","7.5",2,NA,9,-87,NA,NA
209","Austin Davis","USM",3103,238.7,20,NA,145,302,23.2,"2.1",10,2010,"QB",NA,NA,NA,NA,134.1,442,278,"62.9","7",6,NA,17,-106,NA,NA
210","Austin Davis","USM",3128,240.6,23,NA,155,508,39.1,"3.3",9,2008,"QB",NA,NA,NA,NA,128.6,454,261,"57.5","6.9",8,NA,29,-185,NA,NA
211","Austin Davis","USM",3496,249.7,30,NA,110,352,25.1,"3.2",4,2011,"QB",NA,NA,NA,NA,138.2,475,286,"60.2","7.4",11,NA,17,-128,NA,NA
212","Austin Parker","Purd",0,0,0,NA,2,8,8,"4",0,2012,"QB",NA,NA,NA,NA,100,1,1,"100","0",0,NA,0,0,NA,NA
213","Austyn Carta-Samuels","Vand",208,41.6,1,NA,5,27,5.4,"5.4",0,2012,"QB",NA,NA,NA,NA,139.1,25,14,"56","8.3",0,NA,0,0,NA,NA
214","Austyn Carta-Samuels","Wyo",1702,154.7,9,NA,117,142,12.9,"1.2",3,2010,"QB",NA,NA,NA,NA,123.3,252,154,"61.1","6.8",8,NA,29,-222,NA,NA
215","Austyn Carta-Samuels","Wyo",1953,150.2,10,NA,142,366,28.2,"2.6",3,2009,"QB",NA,NA,NA,NA,116,326,191,"58.6","6",5,NA,31,-218,NA,NA
216","B.J. Coleman","Tenn",21,21,0,NA,7,17,17,"2.4",0,2008,"QB",NA,NA,NA,NA,47,8,4,"50","2.6",1,NA,2,-7,NA,NA
217","B.J. Daniels","S Fla",86,43,0,NA,3,2,1,"0.7",0,2008,"QB",NA,NA,NA,NA,224.5,5,4,"80","17.2",0,NA,0,0,NA,NA
218","B.J. Daniels","S Fla",2075,230.6,14,NA,104,434,48.2,"4.2",5,2012,"QB",NA,NA,NA,NA,126,290,165,"56.9","7.2",10,NA,13,-90,NA,NA
219","B.J. Daniels","S Fla",2604,236.7,13,NA,132,601,54.6,"4.6",6,2011,"QB",NA,NA,NA,NA,126.7,365,215,"58.9","7.1",7,NA,14,-107,NA,NA
220","B.J. Daniels","S Fla",1685,140.4,11,NA,112,95,7.9,"0.8",5,2010,"QB",NA,NA,NA,NA,120.3,245,143,"58.4","6.9",13,NA,22,-123,NA,NA
221","B.J. Daniels","S Fla",1983,152.5,14,NA,175,772,59.4,"4.4",9,2009,"QB",NA,NA,NA,NA,139.5,227,122,"53.7","8.7",9,NA,32,-216,NA,NA
222","B.J. Denker","Ariz",259,51.8,3,NA,21,74,14.8,"3.5",1,2012,"QB",NA,NA,NA,NA,147.7,37,25,"67.6","7",1,NA,4,-16,NA,NA
223","B.J. Symons","TX Tch",5833,448.7,52,NA,79,143,11,"1.8",5,2003,"QB",NA,NA,NA,NA,151.3,719,470,"65.4","8.1",22,NA,22,-159,NA,NA
224","B.R. Holbrook","N Mex",170,42.5,1,NA,20,22,5.5,"1.1",0,2009,"QB",NA,NA,NA,NA,95.8,34,19,"55.9","5",2,NA,4,-30,NA,NA
225","B.R. Holbrook","N Mex",619,88.4,2,NA,15,-51,-7.3,"-3.4",0,2010,"QB",NA,NA,NA,NA,92.1,119,63,"52.9","5.2",6,NA,6,-39,NA,NA
226","B.R. Holbrook","N Mex",647,64.7,2,NA,53,168,16.8,"3.2",1,2012,"QB",NA,NA,NA,NA,108,112,62,"55.4","5.8",1,NA,9,-73,NA,NA
227","B.R. Holbrook","N Mex",1490,135.5,4,NA,60,93,8.5,"1.6",1,2011,"QB",NA,NA,NA,NA,112.4,236,141,"59.7","6.3",7,NA,17,-92,NA,NA
228","Barrett Trotter","Aub",64,12.8,0,NA,5,68,13.6,"13.6",1,2010,"QB",NA,NA,NA,NA,126.4,9,6,"66.7","7.1",0,NA,0,0,NA,NA
229","Barrett Trotter","Aub",1184,148,11,NA,36,62,7.8,"1.7",0,2011,"QB",NA,NA,NA,NA,129.2,167,92,"55.1","7.1",6,NA,13,-68,NA,NA
230","Barrick Nealy","TX St",1202,133.6,10,NA,111,409,45.4,"3.7",2,2004,"QB",NA,NA,NA,NA,144,143,84,"58.7","8.4",6,NA,18,-98,NA,NA
231","Barrick Nealy","TX St",3129,260.8,21,NA,133,261,21.8,"2",3,2003,"QB",NA,NA,NA,NA,113.8,473,240,"50.7","6.6",17,NA,33,-215,NA,NA
232","Barrick Nealy","TX St",2875,205.4,21,NA,159,1057,75.5,"6.6",13,2005,"QB",NA,NA,NA,NA,138,363,208,"57.3","7.9",9,NA,18,-103,NA,NA
233","Barry Brunetti","Miss",144,36,0,NA,33,110,27.5,"3.3",0,2011,"QB",NA,NA,NA,NA,88.8,35,19,"54.3","4.1",0,NA,4,-32,NA,NA
234","Barry Brunetti","Miss",196,17.8,1,NA,60,277,25.2,"4.6",3,2012,"QB",NA,NA,NA,NA,118.8,36,23,"63.9","5.4",0,NA,3,-15,NA,NA
235","Barry Brunetti","W Va",6,3,0,NA,1,4,2,"4",0,2010,"QB",NA,NA,NA,NA,50,9,4,"44.4","0.7",0,NA,0,0,NA,NA
236","Beau Davis","Neb",9,9,0,NA,0,0,0,"N/A",0,2007,"QB",NA,NA,NA,NA,175.6,1,1,"100","9",0,NA,0,0,NA,NA
237","Beau Davis","Neb",12,12,0,NA,1,-6,-6,"-6",0,2004,"QB",NA,NA,NA,NA,-74.9,8,1,"12.5","1.5",4,NA,1,-6,NA,NA
238","Beau Pierce","SJSU",98,49,0,NA,1,8,4,"8",1,2004,"QB",NA,NA,NA,NA,108.2,15,8,"53.3","6.5",0,NA,0,0,NA,NA
239","Beau Pierce","SJSU",55,13.8,0,NA,1,6,1.5,"6",0,2003,"QB",NA,NA,NA,NA,77.5,15,9,"60","3.7",1,NA,0,0,NA,NA
240","Beau Sweeney","Cal",29,14.5,0,NA,7,26,13,"3.7",1,2010,"QB",NA,NA,NA,NA,105.5,8,6,"75","3.6",0,NA,1,-4,NA,NA
241","Beau Sweeney","Cal",45,15,0,NA,2,-7,-2.3,"-3.5",0,2009,"QB",NA,NA,NA,NA,97.6,9,5,"55.6","5",0,NA,1,-12,NA,NA
242","Ben Chappell","Ind",14,7,0,NA,4,3,1.5,"0.8",0,2007,"QB",NA,NA,NA,NA,8.8,2,1,"50","7",1,NA,1,-3,NA,NA
243","Ben Chappell","Ind",1001,111.2,4,NA,50,72,8,"1.4",3,2008,"QB",NA,NA,NA,NA,112,153,80,"52.3","6.5",3,NA,11,-73,NA,NA
244","Ben Chappell","Ind",2941,245.1,17,NA,41,-9,-0.8,"-0.2",3,2009,"QB",NA,NA,NA,NA,126.4,428,268,"62.6","6.9",15,NA,15,-105,NA,NA
245","Ben Chappell","Ind",3295,274.6,24,NA,47,-81,-6.8,"-1.7",3,2010,"QB",NA,NA,NA,NA,132.5,483,302,"62.5","6.8",9,NA,11,-80,NA,NA
246","Ben Cochran","AFA",25,8.3,1,NA,1,2,0.7,"2",0,2010,"QB",NA,NA,NA,NA,320,2,1,"50","12.5",0,NA,0,0,NA,NA
247","Ben Cochran","AFA",88,29.3,1,NA,14,55,18.3,"3.9",0,2009,"QB",NA,NA,NA,NA,72.1,19,5,"26.3","4.6",1,NA,1,-3,NA,NA
248","Ben Mauk","Cinc",3121,260.1,31,NA,100,376,31.3,"3.8",3,2007,"QB",NA,NA,NA,NA,150.6,386,235,"60.9","8.1",9,NA,20,-125,NA,NA
249","Ben Mauk","Wake",105,105,1,NA,7,6,6,"0.9",0,2006,"QB",NA,NA,NA,NA,114.9,21,14,"66.7","5",1,NA,2,-12,NA,NA
250","Ben Mauk","Wake",845,120.7,1,NA,64,42,6,"0.7",2,2005,"QB",NA,NA,NA,NA,93.2,158,85,"53.8","5.3",6,NA,17,-164,NA,NA
251","Ben Mauk","Wake",572,57.2,2,NA,58,295,29.5,"5.1",0,2004,"QB",NA,NA,NA,NA,103.9,94,49,"52.1","6.1",3,NA,8,-39,NA,NA
252","Ben McLane","GA St",1592,159.2,10,NA,51,-170,-17,"-3.3",1,2012,"QB",NA,NA,NA,NA,103.6,274,139,"50.7","5.8",11,NA,21,-227,NA,NA
253","Ben Olson","UCLA",11,5.5,0,NA,0,0,0,"N/A",0,2005,"QB",NA,NA,NA,NA,73.1,4,2,"50","2.8",0,NA,0,0,NA,NA
254","Ben Olson","UCLA",822,164.4,5,NA,23,-31,-6.2,"-1.3",0,2006,"QB",NA,NA,NA,NA,124.6,124,79,"63.7","6.6",5,NA,8,-66,NA,NA
255","Ben Olson","UCLA",1040,148.6,7,NA,17,-100,-14.3,"-5.9",0,2007,"QB",NA,NA,NA,NA,115.3,147,71,"48.3","7.1",6,NA,13,-104,NA,NA
256","Ben Roethlisberger","Mia O",4486,320.4,37,NA,67,111,7.9,"1.7",3,2003,"QB",NA,NA,NA,NA,165.8,495,342,"69.1","9.1",10,NA,19,-155,NA,NA
257","Benji Kamrath","Minn",250,35.7,1,NA,10,17,2.4,"1.7",2,2003,"QB",NA,NA,NA,NA,106.8,34,16,"47.1","7.4",2,NA,1,-5,NA,NA
258","Benji Walker","Vand",81,27,1,NA,1,2,0.7,"2",0,2003,"QB",NA,NA,NA,NA,182.1,5,3,"60","16.2",2,NA,0,0,NA,NA
259","Bennett Swygert","S Car",160,32,2,NA,3,0,0,"0",1,2003,"QB",NA,NA,NA,NA,138.3,21,11,"52.4","7.6",1,NA,1,-8,NA,NA
260","Bernard Morris","Mrsh",0,0,0,NA,5,21,10.5,"4.2",0,2004,"QB",NA,NA,NA,NA,0,1,0,"0","0",0,NA,0,0,NA,NA
261","Bernard Morris","Mrsh",1121,124.6,6,NA,75,256,28.4,"3.4",4,2005,"QB",NA,NA,NA,NA,100,216,114,"52.8","5.2",6,NA,13,-80,NA,NA
262","Bernard Morris","Mrsh",1346,122.4,8,NA,82,324,29.5,"4",2,2006,"QB",NA,NA,NA,NA,123.1,188,116,"61.7","7.2",12,NA,14,-84,NA,NA
263","Bernard Morris","Mrsh",3149,262.4,17,NA,130,488,40.7,"3.8",4,2007,"QB",NA,NA,NA,NA,139.1,398,253,"63.6","7.9",10,NA,34,-171,NA,NA
264","Bill Stull","Pitt",17,17,0,NA,0,0,0,"N/A",0,2005,"QB",NA,NA,NA,NA,121.4,2,1,"50","8.5",0,NA,0,0,NA,NA
265","Bill Stull","Pitt",177,177,1,NA,3,-9,-9,"-3",0,2007,"QB",NA,NA,NA,NA,160.8,20,14,"70","8.9",0,NA,0,0,NA,NA
266","Bill Stull","Pitt",69,23,1,NA,4,8,2.7,"2",0,2006,"QB",NA,NA,NA,NA,188.7,8,6,"75","8.6",0,NA,1,-6,NA,NA
267","Bill Stull","Pitt",2356,196.3,9,NA,35,-136,-11.3,"-3.9",1,2008,"QB",NA,NA,NA,NA,119.9,330,188,"57","7.1",10,NA,25,-132,NA,NA
268","Bill Stull","Pitt",2633,202.5,21,NA,32,-51,-3.9,"-1.6",2,2009,"QB",NA,NA,NA,NA,150.6,321,209,"65.1","8.2",8,NA,14,-99,NA,NA
269","Bill Whittemore","Kan",2385,238.5,18,NA,127,534,53.4,"4.2",10,2003,"QB",NA,NA,NA,NA,154.7,263,159,"60.5","9.1",6,NA,11,-62,NA,NA
270","Billy Farris","CO St",91,45.5,0,NA,5,11,5.5,"2.2",0,2007,"QB",NA,NA,NA,NA,83.2,20,9,"45","4.6",0,NA,2,-17,NA,NA
271","Billy Farris","CO St",148,29.6,1,NA,13,68,13.6,"5.2",0,2006,"QB",NA,NA,NA,NA,130.2,19,11,"57.9","7.8",1,NA,3,-11,NA,NA
272","Billy Farris","CO St",2934,225.7,19,NA,46,-34,-2.6,"-0.7",0,2008,"QB",NA,NA,NA,NA,136.2,379,233,"61.5","7.7",13,NA,21,-147,NA,NA
273","Billy Meraz","Navy",0,0,0,NA,2,18,18,"9",0,2004,"QB",NA,NA,NA,NA,0,0,0,"N/A","N/A",0,NA,0,0,NA,NA
274","Billy Tapp","Miss",20,20,0,NA,0,0,0,"N/A",0,2009,"QB",NA,NA,NA,NA,268,1,1,"100","20",0,NA,0,0,NA,NA
275","Billy Tapp","Miss",34,11.3,0,NA,3,19,6.3,"6.3",0,2008,"QB",NA,NA,NA,NA,117.1,5,3,"60","6.8",0,NA,0,0,NA,NA
276","Blaine Gabbert","Mizz",43,14.3,0,NA,6,22,7.3,"3.7",0,2008,"QB",NA,NA,NA,NA,66.2,13,5,"38.5","3.3",0,NA,1,-10,NA,NA
277","Blaine Gabbert","Mizz",3186,245.1,16,NA,112,28,2.2,"0.3",5,2010,"QB",NA,NA,NA,NA,127,475,301,"63.4","6.7",9,NA,22,-140,NA,NA
278","Blaine Gabbert","Mizz",3593,276.4,24,NA,103,204,15.7,"2",3,2009,"QB",NA,NA,NA,NA,140.5,445,262,"58.9","8.1",9,NA,19,-185,NA,NA
279","Blaine Gautier","ULL",119,19.8,1,NA,14,24,4,"1.7",1,2009,"QB",NA,NA,NA,NA,131.2,17,9,"52.9","7",0,NA,1,-12,NA,NA
280","Blaine Gautier","ULL",532,76,5,NA,17,93,13.3,"5.5",3,2012,"QB",NA,NA,NA,NA,131.8,73,35,"47.9","7.3",0,NA,1,-8,NA,NA
281","Blaine Gautier","ULL",550,61.1,3,NA,77,223,24.8,"2.9",5,2010,"QB",NA,NA,NA,NA,100.1,89,45,"50.6","6.2",6,NA,12,-55,NA,NA
282","Blaine Gautier","ULL",2958,227.5,23,NA,118,486,37.4,"4.1",3,2011,"QB",NA,NA,NA,NA,153.6,344,216,"62.8","8.6",6,NA,19,-128,NA,NA
283","Blaire Sullivan","UTEP",390,78,2,NA,59,240,48,"4.1",2,2012,"QB",NA,NA,NA,NA,135.7,43,21,"48.8","9.1",1,NA,3,-20,NA,NA
284","Blake Barnes","Ga",9,4.5,0,NA,0,0,0,"N/A",0,2005,"QB",NA,NA,NA,NA,91.9,3,2,"66.7","3",0,NA,0,0,NA,NA
285","Blake Bell","Okla",8,1.1,0,NA,44,171,24.4,"3.9",13,2011,"QB",NA,NA,NA,NA,-8.2,4,1,"25","2",1,NA,1,-1,NA,NA
286","Blake Bell","Okla",107,8.2,0,NA,60,201,15.5,"3.4",11,2012,"QB",NA,NA,NA,NA,112.4,16,9,"56.3","6.7",0,NA,2,-14,NA,NA
287","Blake Bortles","UCF",958,106.4,6,NA,21,4,0.4,"0.2",1,2011,"QB",NA,NA,NA,NA,153.9,110,75,"68.2","8.7",3,NA,7,-43,NA,NA
288","Blake Bortles","UCF",3059,218.5,25,NA,87,285,20.4,"3.3",8,2012,"QB",NA,NA,NA,NA,144.5,399,251,"62.9","7.7",7,NA,22,-144,NA,NA
289","Blake Field","Aub",92,92,1,NA,0,0,0,"N/A",0,2007,"QB",NA,NA,NA,NA,154.8,11,6,"54.5","8.4",0,NA,0,0,NA,NA
290","Blake Field","Aub",47,15.7,0,NA,0,0,0,"N/A",0,2006,"QB",NA,NA,NA,NA,110.5,9,8,"88.9","5.2",1,NA,0,0,NA,NA
291","Blake Field","Aub",237,59.3,3,NA,5,3,0.8,"0.6",0,2005,"QB",NA,NA,NA,NA,151,31,17,"54.8","7.6",0,NA,0,0,NA,NA
292","Blake Frohnapfel","Mrsh",180,36,2,NA,13,78,15.6,"6",1,2012,"QB",NA,NA,NA,NA,164,23,18,"78.3","7.8",1,NA,3,-3,NA,NA
293","Blake Jablonski","Kan",12,4,0,NA,2,1,0.3,"0.5",0,2012,"QB",NA,NA,NA,NA,200.8,1,1,"100","12",0,NA,0,0,NA,NA
294","Blake Joseph","Hous",56,28,0,NA,2,15,7.5,"7.5",0,2006,"QB",NA,NA,NA,NA,108.8,8,6,"75","7",1,NA,0,0,NA,NA
295","Blake Joseph","Hous",201,25.1,1,NA,17,93,11.6,"5.5",0,2008,"QB",NA,NA,NA,NA,162.8,21,14,"66.7","9.6",0,NA,2,-13,NA,NA
296","Blake Joseph","Hous",1324,120.4,9,NA,61,109,9.9,"1.8",1,2007,"QB",NA,NA,NA,NA,150.3,155,100,"64.5","8.5",4,NA,21,-125,NA,NA
297","Blake Jurich","SJSU",4,4,0,NA,3,22,22,"7.3",0,2011,"QB",NA,NA,NA,NA,-22.1,3,1,"33.3","1.3",1,NA,0,0,NA,NA
298","Blake Jurich","SJSU",66,5.5,1,NA,43,174,14.5,"4",3,2012,"QB",NA,NA,NA,NA,125.9,11,5,"45.5","6",0,NA,0,0,NA,NA
299","Blake Mitchell","S Car",86,17.2,1,NA,6,30,6,"5",0,2004,"QB",NA,NA,NA,NA,61.5,22,9,"40.9","3.9",3,NA,0,0,NA,NA
300","Blake Mitchell","S Car",1747,218.4,10,NA,29,-66,-8.3,"-2.3",2,2007,"QB",NA,NA,NA,NA,123,255,152,"59.6","6.9",9,NA,13,-101,NA,NA
301","Blake Mitchell","S Car",1789,223.6,10,NA,25,47,5.9,"1.9",1,2006,"QB",NA,NA,NA,NA,151.6,202,135,"66.8","8.9",6,NA,9,-49,NA,NA
302","Blake Mitchell","S Car",2370,215.5,17,NA,45,-130,-11.8,"-2.9",1,2005,"QB",NA,NA,NA,NA,132.4,315,186,"59","7.5",12,NA,25,-185,NA,NA
303","Blake Sims","Ala",0,0,0,NA,22,107,26.8,"4.9",0,2011,"QB",NA,NA,NA,NA,0,0,0,"N/A","N/A",0,NA,0,0,NA,NA
304","Blake Sims","Ala",77,9.6,0,NA,30,187,23.4,"6.2",2,2012,"QB",NA,NA,NA,NA,114.7,10,5,"50","7.7",0,NA,1,-16,NA,NA
305","Blake Szymanski","Bayl",28,7,0,NA,1,3,0.8,"3",0,2008,"QB",NA,NA,NA,NA,90.7,7,4,"57.1","4",0,NA,0,0,NA,NA
