Institution ID,Institution,Game Date,Uniform Number,Last Name,First Name,Rushing,,,,,Passing,,,,,,Total Off.,,Receiving,,,Pass Int,,,Fumble Ret,,,Punting,,Punt Ret,,,KO Ret,,,Total TD,Off xpts,,,,Def xpts,,,,FG,,Saf,Points
,,,,,,Rushes,Gain,Loss,Net,TD,Att,Cmp,Int,Yards,TD,Conv,Plays,Yards,No.,Yards,TD,No.,Yards,TD,No.,Yards,TD,No.,Yards,No.,Yards,TD,No.,Yards,TD,,Kicks Att,Kicks Made,R/P Att,R/P Made,Kicks Att,Kicks Made,Int/Fum Att,Int/Fum Made,Att,Made,,
721,Air Force,11/11/2000,25,BROWN,QUALARIO,10,62,2,60,0,,,,,,,10,60,,,,,,,,,,,,,,,3,76,,,,,,,,,,,,,,
721,Air Force,11/18/2000,25,BROWN,QUALARIO,18,140,0,140,3,,,,,,,18,140,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,18
721,Air Force,9/2/2000,21,BUELOW,JOEL,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,
721,Air Force,9/9/2000,21,BUELOW,JOEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
721,Air Force,9/23/2000,21,BUELOW,JOEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
721,Air Force,9/30/2000,21,BUELOW,JOEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
721,Air Force,10/7/2000,21,BUELOW,JOEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
721,Air Force,10/14/2000,21,BUELOW,JOEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
721,Air Force,10/21/2000,21,BUELOW,JOEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
721,Air Force,10/28/2000,21,BUELOW,JOEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
721,Air Force,11/4/2000,21,BUELOW,JOEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
721,Air Force,11/11/2000,21,BUELOW,JOEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
721,Air Force,11/18/2000,21,BUELOW,JOEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
721,Air Force,9/2/2000,32,BURNS,JIMMY,5,29,0,29,0,,,,,,,5,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
721,Air Force,9/9/2000,32,BURNS,JIMMY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
721,Air Force,9/30/2000,32,BURNS,JIMMY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
721,Air Force,10/7/2000,32,BURNS,JIMMY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
721,Air Force,10/14/2000,32,BURNS,JIMMY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
721,Air Force,10/21/2000,32,BURNS,JIMMY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
721,Air Force,11/4/2000,32,BURNS,JIMMY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
721,Air Force,11/11/2000,32,BURNS,JIMMY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
721,Air Force,11/18/2000,32,BURNS,JIMMY,2,19,0,19,0,,,,,,,2,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
721,Air Force,9/2/2000,26,CLARK,DON,1,4,0,4,0,,,,,,,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
721,Air Force,9/9/2000,26,CLARK,DON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
721,Air Force,9/23/2000,26,CLARK,DON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
721,Air Force,9/30/2000,26,CLARK,DON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
721,Air Force,10/7/2000,26,CLARK,DON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
721,Air Force,10/14/2000,26,CLARK,DON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
721,Air Force,10/21/2000,26,CLARK,DON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
721,Air Force,10/28/2000,26,CLARK,DON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
721,Air Force,11/11/2000,26,CLARK,DON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
721,Air Force,11/18/2000,26,CLARK,DON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
721,Air Force,9/2/2000,28,DANQUAH,,1,7,0,7,0,,,,,,,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
