Name,Team,G,,Rush,Yds,Y/G,Avg,TD,,Rec,Yds,Y/G,Avg,Lng,TD
 Paddy Lynch,BC,4,,0,0,0,N/A,0,,7,41,10.3,5.9,9,0
 Paco Jones,Mrsh,1,,1,0,0,0,0,,0,0,0,N/A,N/A,0
 Deriontae Taylor,Lou,2,,0,0,0,N/A,0,,2,6,3,3,4,0
 Casey Rogers,MS St,2,,0,0,0,N/A,0,,2,32,16,16,27,0
 Seth Quivey,WMU,1,,0,0,0,N/A,0,,1,12,12,12,12,0
 A.J. Brooks,BC,1,,0,0,0,N/A,0,,0,0,0,N/A,8,0
 Brandon Lopez,Ariz,3,,0,0,0,N/A,0,,3,30,10,10,16,0
 Anthony Martinez,Temp,1,,0,0,0,N/A,0,,1,8,8,8,8,0
 Will Paul,Mich,1,,0,0,0,N/A,0,,0,0,0,N/A,N/A,0
 Nate Clemens,Ohio,1,,0,0,0,N/A,0,,0,0,0,N/A,N/A,0
 Chris Clancy,Ball,4,,0,0,0,N/A,0,,6,46,11.5,7.7,15,2
 Steven Jackson,Clem,5,,0,0,0,N/A,0,,5,36,7.2,7.2,15,0
 Joey Trappey,ULM,10,,0,0,0,N/A,0,,42,425,42.5,10.1,26,1
 Nolan Hughey,UAB,1,,0,0,0,N/A,0,,1,3,3,3,3,0
 Kort Shankweiler,ECU,1,,0,0,0,N/A,0,,0,0,0,N/A,N/A,0
 Kevin Bradley,UVa,1,,0,0,0,N/A,0,,1,3,3,3,3,0
 Dane Todd,Neb,6,,0,0,0,N/A,0,,8,75,12.5,9.4,17,0
 Luke Bomar,TX St,3,,1,0,0,0,0,,4,27,9,6.8,12,0
 Andrew McCloud,WKU,1,,0,0,0,N/A,0,,1,13,13,13,13,0
 Curtis Francis,UCF,2,,2,0,0,0,0,,1,6,3,6,6,0
 Mike Brittingham,USC,1,,0,0,0,N/A,0,,1,9,9,9,9,0
 Damon Dotson,Bayl,2,,0,0,0,N/A,0,,2,25,12.5,12.5,13,0
 Frank McDonald,Mass,1,,0,0,0,N/A,0,,1,6,6,6,6,0
 Justin Hoskins,ND,1,,2,-1,-1,-0.5,0,,0,0,0,N/A,N/A,0
 Rhoderick Carroll,Troy,2,,1,-2,-1,-2,0,,1,5,2.5,5,5,0
 Stephen White,Ga,1,,1,-2,-2,-2,0,,0,0,0,N/A,N/A,0
 Kyle Eklund,Nev,1,,3,-4,-4,-1.3,0,,1,4,4,4,4,0
 Derrick Bush,Kent,10,,3,-4,-0.4,-1.3,0,,39,388,38.8,9.9,61,4
 Erroll Hogan,ULM,4,,6,-6,-1.5,-1,0,,3,22,5.5,7.3,13,0
